technology,category,p,q,m,source,technology ready year,market year,time to 95% adoption
hybrid corn,agricultural,0.00001,0.116,,"Pae Lehmann, 2003",,1900,106.0537031
Dishwashers,appliances,0.00002,0.1266,,"Kohli, Lehmann and Pae, 1999",1889,1912,
room air conditioners,appliances,0.00011,0.6396,,"Kohli, Lehmann and Pae, 1999",1949,1954,
Microwave,appliances,0.0001,0.45,,"Pae Lehmann, 2003",,1983,25.23107209
Clothes Dryers,appliances,0.00008,0.3476,,"Kohli, Lehmann and Pae, 1999",1932,1946,
Refrigerator,appliances,0.00018,0.3048,,"Kohli, Lehmann and Pae, 1999",1905,1913,
Waste Disposal,appliances,0.0002,0.3069,,"Pae Lehmann, 2003",,1964,33.47797003
Freezer,appliances,0.00049,0.67,,"Kohli, Lehmann and Pae, 1999",1960,1971,
Electric Range,appliances,0.0005,0.656,0.5,PNNL,,1984,15.42200904
Clothes Washer,appliances,0.0003,0.389,,"Kohli, Lehmann and Pae, 1999",1911,1933,125.4326943
Shaver,housewares,0.00021,0.2636,,"Kohli, Lehmann and Pae, 1999",1923,1931,
soft drink can: alluminum,industrial,0.0004,0.404,,"Pae Lehmann, 2003",,1966,24.38967917
Clothes Dryers,appliances,0.0004,0.3882,,"Kohli, Lehmann and Pae, 1999",1930,1939,
Microwave,appliances,0.0002,0.1754,,"Kohli, Lehmann and Pae, 1999",1945,1955,
detergent: synthetic,consumer,0.0002,0.172,,"Pae Lehmann, 2003",,1927,56.34491644
recorder (software): LP,consumer,0.0004,0.2685,,"Pae Lehmann, 2003",,1954,35.16231894
DRAM: 4M,industrial,0.0014,0.8483,,"Pae Lehmann, 2003",,1988,11.00734001
Cellular Phone,Electronics,0.00092,0.496,,"Kohli, Lehmann and Pae, 1999",1970,1983,
Mixer,housewares,0.00032,0.1657,,"Kohli, Lehmann and Pae, 1999",1910,1923,
DRAM: 64K,industrial,0.0027,1.276,,"Pae Lehmann, 2003",,1979,7.120432899
recorder (hardware): cd player,consumer,0.0007,0.319,,"Pae Lehmann, 2003",,1983,28.36600629
Beer can: alluminum,industrial,0.0007,0.3043,,"Pae Lehmann, 2003",,1961,29.57884094
Steel: Open hearth,industrial,0.0002,0.07,,"Pae Lehmann, 2003",,1868,125.4326943
DRAM: 16K,industrial,0.0027,0.8698,,"Pae Lehmann, 2003",,1976,9.997378474
Soft drink can: metal,industrial,0.001,0.3046,,"Pae Lehmann, 2003",,1953,28.36023641
Mammography,medical,0.00256,0.6462,0.5942,Schmittlein Mahajan 1982,,1965,13.07063048
CD Player,Electronics,0.00171,0.358,,"Kohli, Lehmann and Pae, 1999",1969,1983,
Vacuum Cleaner,housewares,0.00142,0.2941,,"Kohli, Lehmann and Pae, 1999",1907,1908,
DRAM: 256K,industrial,0.0039,0.7985,,"Pae Lehmann, 2003",,1982,10.30823211
DRAM: 4K,industrial,0.0059,1.12,,"Pae Lehmann, 2003",,1974,7.279598888
DRAM: 1M,industrial,0.0039,0.7384,,"Pae Lehmann, 2003",,1985,11.03797977
Waste Disposal,appliances,0.00098,0.1804,,"Kohli, Lehmann and Pae, 1999",1929,1935,
Cassete deck,Electronics,0.0018,0.3216,,"Kohli, Lehmann and Pae, 1999",1961,1964,
flame retention burner,buildings,0.0039,0.655,1,PNNL,,1975,12.25428089
VCR,Electronics,0.0022,0.3576,,"Kohli, Lehmann and Pae, 1999",1958,1975,
"Color TV, retail",consumer durables,0.0054467,0.83687,,"Nevers, 1972",,1959,9.480905942
Radio,Electronics,0.0016,0.2357,,"Kohli, Lehmann and Pae, 1999",1910,1922,
Steel: Bessemer,industrial,0.0006,0.0857,,"Pae Lehmann, 2003",,1856,91.69710376
recorder (hardware): tape deck,consumer,0.0016,0.2256,,"Pae Lehmann, 2003",,1964,34.77392875
Broiler,housewares,0.00111,0.156,,"Kohli, Lehmann and Pae, 1999",1934,1937,
"Color TV, manf",consumer durables,0.0066315,0.81876,,"Nevers, 1972",,1959,9.412368007
TV: color,consumer,0.0012,0.1476,,"Pae Lehmann, 2003",,1954,52.1851136
Airplane: Turbine,industrial,0.0017,0.1857,,"Pae Lehmann, 2003",,1953,40.80860956
Floppy drive: 3.5 inch,industrial,0.0038,0.4111,,"Pae Lehmann, 2003",,1983,18.40915249
